player,team,role,overseas,points_match1,points_match2,points_match3,points_match4,points_match5,points_match6,points_match7,points_match8,points_match9,points_match10,points_match11,points_match12,points_match13,points_match14,points_q1_e,points_q2,points_final,points_total
Satyanarayana Raju,MI,BOWL,,13,23,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,36
Anrich Nortje,KKR,BOWL,1,NO,NO,NO,NO,NO,NO,29,NO,NO,NO,NO,NO,NO,6,NO,NO,NO,35
Mukesh Choudhary,CSK,BOWL,,NO,NO,NO,-2,35,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,33
Richard Gleeson,MI,BOWL,1,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,33,NO,NO,33
Rasikh Salam,RCB,BOWL,,33,NO,0,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,33
Sediqullah Atal,DC,BAT,1,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,32,NO,NO,NO,32
Anukul Roy,KKR,AR,,NO,NO,NO,NO,NO,NO,NO,NO,NO,29,NO,NO,NO,NO,NO,NO,NO,29
Suryansh Shedge,PBKS,BAT,,4,4,6,NO,NO,16,NO,NO,NO,-1,NO,NO,NO,NO,NO,NO,NO,29
Raj Bawa,MI,AR,,NO,NO,NO,12,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,4,12,NO,28
Pravin Dubey,PBKS,BOWL,,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,27,NO,NO,NO,NO,27
Yash Thakur,PBKS,BOWL,,NO,NO,NO,29,-2,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,27
Mujeeb Ur Rahman,MI,BOWL,1,NO,23,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,23
Rovman Powell,KKR,BAT,1,NO,NO,NO,NO,NO,NO,NO,NO,12,10,NO,NO,NO,NO,NO,NO,NO,22
Wiaan Mulder,SRH,AR,1,NO,NO,22,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,22
Matthew Breetzke,LSG,BAT,1,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,21,NO,NO,NO,21
Musheer Khan,PBKS,AR,,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,21,NO,NO,21
Himmat Singh,LSG,BAT,,NO,NO,NO,NO,NO,4,NO,NO,NO,NO,NO,NO,12,4,NO,NO,NO,20
Atharva Taide,SRH,BAT,,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,20,NO,NO,NO,NO,NO,20
Mitchell Owen,PBKS,AR,1,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,18,NO,NO,NO,NO,NO,18
Madhav Tiwari,DC,AR,,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,15,NO,NO,NO,NO,15
Robin Minz,MI,WK,,7,7,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,14
